item,sentence,condition,e1,e2,context,target
1,The murder had been witnessing by the three bystanders,Attraction Violation,1,1,The murder had been,witnessing
1,The murder had been witnessed in the dark.,Passive Control,1,1,The murder had been,witnessed
1,The bystanders had been witnessing the crime.,Active Control,1,0,The bystanders had been,witnessing
1,The unpleasant cough syrup was witnessing in the dark.,No-Attraction Violation,0,1,The unpleasant cough syrup was,witnessing
2,Patty's overgrown lawn was mowing the boy next door.,Attraction Violation,1,1,Patty's overgrown lawn was,mowing
2,Patty's overgrown lawn was mowed only last week.,Passive Control,1,1,Patty's overgrown lawn was,mowed
2,Patty's teenage son was mowing the lawn.,Active Control,1,0,Patty's teenage son was,mowing
2,All of her money had been mowing the grass.,No-Attraction Violation,0,1,All of her money had been,mowing
3,Three more martinis were ordering by Laurie's sister.,Attraction Violation,1,1,Three more martinis were,ordering
3,Three more martinis were ordered repeatedly.,Passive Control,1,1,Three more martinis were,ordered
3,"The regular customers were ordering quiche, as usual.",Active Control,1,0,The regular customers were,ordering
3,The rough part of the wood was ordering late.,No-Attraction Violation,0,1,The rough part of the wood was,ordering
4,The quality of Karla's work was evaluating frequently.,Attraction Violation,1,1,The quality of Karla's work was,evaluating
4,The quality of Karla's work was evaluated frequently.,Passive Control,1,1,The quality of Karla's work was,evaluated
4,The engineers were evaluating the success of the new device.,Active Control,1,0,The engineers were,evaluating
4,The old lady's purse had been evaluating Nelson's idea.,No-Attraction Violation,0,1,The old lady's purse had been,evaluating
5,The legal contract had been signing falsely.,Attraction Violation,1,1,The legal contract had been,signing
5,The legal contract had been signed by the family.,Passive Control,1,1,The legal contract had been,signed
5,The state's governor had been signing new legislation.,Active Control,1,0,The state's governor had been,signing
5,An appointment was signing falsely.,No-Attraction Violation,0,1,An appointment was,signing
6,The vocabulary list was memorizing well.,Attraction Violation,1,1,The vocabulary list was,memorizing
6,The vocabulary list was memorized well.,Passive Control,1,1,The vocabulary list was,memorized
6,The medical students were memorizing sample exam questions all night.,Active Control,1,0,The medical students were,memorizing
6,The simple coffin was memorizing the lines of the poem.,No-Attraction Violation,0,1,The simple coffin was,memorizing
7,The firewood had been chopping poorly.,Attraction Violation,1,1,The firewood had been,chopping
