,target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context,semantic_association,implementation,model
0,raise,BC,1,2.55,0.2258064516129032,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",0.7588053,SE,intfloat/multilingual-e5-large
1,couch,BC,8,1.21,0.1875,The cigar burned a hole in the couch,The cigar burned a hole in the,0.75573766,SE,intfloat/multilingual-e5-large
2,try,BC,11,1.33,0.0344827586206896,"His first film was a failure, but he learned some techniques in that first try","His first film was a failure, but he learned some techniques in that first",0.77442455,SE,intfloat/multilingual-e5-large
3,look,BC,17,1.79,0.03125,He was hired for the job because of his fresh new look,He was hired for the job because of his fresh new,0.759146,SE,intfloat/multilingual-e5-large
4,print,BC,18,1.46,0.0689655172413793,The journal issue that has the new article about diseases of the eye is still in print,The journal issue that has the new article about diseases of the eye is still in,0.78375894,SE,intfloat/multilingual-e5-large
5,ball,BC,22,1.33,0.03125,Every spring they held the annual ball,Every spring they held the annual,0.75885487,SE,intfloat/multilingual-e5-large
6,wheels,BC,23,1.63,0.09375,"Penelope started to assemble her new bicycle, but was missing the wheels","Penelope started to assemble her new bicycle, but was missing the",0.76800805,SE,intfloat/multilingual-e5-large
7,management,BC,24,1.25,0.1875,The restaurant will reopen with new management,The restaurant will reopen with new,0.7794148,SE,intfloat/multilingual-e5-large
8,bugs,BC,28,1.13,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of bugs,Jennifer disliked walking under the trees at the edge of the park because they were always full of,0.75282377,SE,intfloat/multilingual-e5-large
9,pretty,BC,36,1.28,0.3125,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or pretty","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",0.78231907,SE,intfloat/multilingual-e5-large
10,print,BC,37,1.73,0.0689655172413793,I don't know why people like to see their initials in print,I don't know why people like to see their initials in,0.7722319,SE,intfloat/multilingual-e5-large
