,item,sentence,condition,e1,e2,context,target,semantic_association,implementation,model
0,1,The murder had been witnessing by the three bystanders,Attraction Violation,1,1,The murder had been,witnessing,0.8033256,SE,intfloat/multilingual-e5-large
1,1,The murder had been witnessed in the dark.,Passive Control,1,1,The murder had been,witnessed,0.83160055,SE,intfloat/multilingual-e5-large
2,1,The bystanders had been witnessing the crime.,Active Control,1,0,The bystanders had been,witnessing,0.8114583,SE,intfloat/multilingual-e5-large
3,1,The unpleasant cough syrup was witnessing in the dark.,No-Attraction Violation,0,1,The unpleasant cough syrup was,witnessing,0.7644824,SE,intfloat/multilingual-e5-large
4,2,Patty's overgrown lawn was mowing the boy next door.,Attraction Violation,1,1,Patty's overgrown lawn was,mowing,0.80153835,SE,intfloat/multilingual-e5-large
5,2,Patty's overgrown lawn was mowed only last week.,Passive Control,1,1,Patty's overgrown lawn was,mowed,0.82011473,SE,intfloat/multilingual-e5-large
6,2,Patty's teenage son was mowing the lawn.,Active Control,1,0,Patty's teenage son was,mowing,0.76772296,SE,intfloat/multilingual-e5-large
7,2,All of her money had been mowing the grass.,No-Attraction Violation,0,1,All of her money had been,mowing,0.7511183,SE,intfloat/multilingual-e5-large
8,3,Three more martinis were ordering by Laurie's sister.,Attraction Violation,1,1,Three more martinis were,ordering,0.7749361,SE,intfloat/multilingual-e5-large
9,3,Three more martinis were ordered repeatedly.,Passive Control,1,1,Three more martinis were,ordered,0.78306335,SE,intfloat/multilingual-e5-large
10,3,"The regular customers were ordering quiche, as usual.",Active Control,1,0,The regular customers were,ordering,0.80005825,SE,intfloat/multilingual-e5-large
11,3,The rough part of the wood was ordering late.,No-Attraction Violation,0,1,The rough part of the wood was,ordering,0.77551013,SE,intfloat/multilingual-e5-large
12,4,The quality of Karla's work was evaluating frequently.,Attraction Violation,1,1,The quality of Karla's work was,evaluating,0.79938996,SE,intfloat/multilingual-e5-large
13,4,The quality of Karla's work was evaluated frequently.,Passive Control,1,1,The quality of Karla's work was,evaluated,0.798753,SE,intfloat/multilingual-e5-large
14,4,The engineers were evaluating the success of the new device.,Active Control,1,0,The engineers were,evaluating,0.82334954,SE,intfloat/multilingual-e5-large
15,4,The old lady's purse had been evaluating Nelson's idea.,No-Attraction Violation,0,1,The old lady's purse had been,evaluating,0.76207054,SE,intfloat/multilingual-e5-large
16,5,The legal contract had been signing falsely.,Attraction Violation,1,1,The legal contract had been,signing,0.81387585,SE,intfloat/multilingual-e5-large
17,5,The legal contract had been signed by the family.,Passive Control,1,1,The legal contract had been,signed,0.8367741,SE,intfloat/multilingual-e5-large
18,5,The state's governor had been signing new legislation.,Active Control,1,0,The state's governor had been,signing,0.7620906,SE,intfloat/multilingual-e5-large
19,5,An appointment was signing falsely.,No-Attraction Violation,0,1,An appointment was,signing,0.8342107,SE,intfloat/multilingual-e5-large
20,6,The vocabulary list was memorizing well.,Attraction Violation,1,1,The vocabulary list was,memorizing,0.8267755,SE,intfloat/multilingual-e5-large
21,6,The vocabulary list was memorized well.,Passive Control,1,1,The vocabulary list was,memorized,0.84143186,SE,intfloat/multilingual-e5-large
22,6,The medical students were memorizing sample exam questions all night.,Active Control,1,0,The medical students were,memorizing,0.80989,SE,intfloat/multilingual-e5-large
23,6,The simple coffin was memorizing the lines of the poem.,No-Attraction Violation,0,1,The simple coffin was,memorizing,0.7954538,SE,intfloat/multilingual-e5-large
24,7,The firewood had been chopping poorly.,Attraction Violation,1,1,The firewood had been,chopping,0.7766486,SE,intfloat/multilingual-e5-large
25,7,The firewood had been chopped by Jen's grandfather.,Passive Control,1,1,The firewood had been,chopped,0.7934567,SE,intfloat/multilingual-e5-large
26,7,Jen's grandfather had been chopping the firewood.,Active Control,1,0,Jen's grandfather had been,chopping,0.74640507,SE,intfloat/multilingual-e5-large
27,7,Mark's wrinkly shirts were chopping vegetables.,No-Attraction Violation,0,1,Mark's wrinkly shirts were,chopping,0.7572615,SE,intfloat/multilingual-e5-large
28,8,Lisa's phone had been disconnecting last month.,Attraction Violation,1,1,Lisa's phone had been,disconnecting,0.80263597,SE,intfloat/multilingual-e5-large
29,8,Lisa's phone had been disconnected last month.,Passive Control,1,1,Lisa's phone had been,disconnected,0.7980428,SE,intfloat/multilingual-e5-large
30,8,The electrician had been disconnecting the machine's power source.,Active Control,1,0,The electrician had been,disconnecting,0.8360649,SE,intfloat/multilingual-e5-large
31,8,Mother Theresa's death was disconnecting the two cables.,No-Attraction Violation,0,1,Mother Theresa's death was,disconnecting,0.7817989,SE,intfloat/multilingual-e5-large
