,Unnamed: 0,constraint,context,expected,within,between,unexpected,translated_context,translated_expected,translated_within,translated_between,longer_context,translated_unexpected,translated_longer_context
0,0,H,"""Checkmate,"" Rosaline announced with glee. She was getting to be really good at",chess,monopoly,football,gondola,"""Schakmat,"" kondigde Rosaline vrolijk aan. Ze begon er echt heel goed in te worden bij het spelen van",schaken,monopolie,voetbal,"The rain had been tapping at the windows all afternoon, turning the small living room into a cozy island of lamplight and quiet. Rosaline sat cross-legged on the rug, her brow furrowed in concentration as she studied the board between them. Across from her, her father leaned back in his chair, pretending to look confident while keeping an eye on her quick hands. The pieces clicked softly each time she moved, a rhythm she’d come to love over the past few weeks. She no longer asked what the knight did or mixed up diagonals and straight lines; now she made plans.",gondel,"De regen tikte de hele middag tegen de ramen en veranderde de kleine woonkamer in een knus eiland van lamplicht en stilte. Rosaline zat in kleermakerszit op het vloerkleed, haar voorhoofd gefronst van concentratie terwijl ze het bord tussen hen bestudeerde. Tegenover haar leunde haar vader achterover in zijn stoel, alsof hij zelfverzekerd was, maar ondertussen hield hij haar snelle handen scherp in de gaten. De stukken klikten zachtjes telkens als ze een zet deed, een ritme waar ze in de afgelopen weken van was gaan houden. Ze vroeg niet meer wat het paard deed of haalde diagonalen en rechte lijnen door elkaar; nu maakte ze plannen."
1,1,H,Justin put a second house on Park Place. He and his sister often spent hours playing,monopoly,chess,baseball,ferry,Justin zette een tweede huis op Park Place. Hij en zijn zus brachten vaak uren door met spelen,monopolie,schaken,honkbal,"The living room table was already crowded with snack bowls and neatly stacked game boxes when the rain started tapping at the windows. On Friday nights, Justin liked to keep things simple: no phones, no television, just a warm lamp and a board game spread out between him and his sister. They had played countless rounds over the years, developing their own rituals—sorting the money by color, arguing over who got the top hat, and insisting on strict rules about trading. Tonight, the dice seemed to favor Justin, and the property cards were lining up in a way that made him grin.",veerboot,"De salontafel stond al vol met schaaltjes snacks en netjes opgestapelde speldozen toen de regen tegen de ramen begon te tikken. Op vrijdagavond hield Justin het graag eenvoudig: geen telefoons, geen televisie, alleen een warme lamp en een bordspel tussen hem en zijn zus. Ze hadden door de jaren heen ontelbare rondes gespeeld en hun eigen rituelen ontwikkeld—geld op kleur sorteren, ruzie maken over wie de hoge hoed kreeg, en vasthouden aan strenge regels bij het ruilen. Vanavond leken de dobbelstenen Justin gunstig gezind, en de eigendomskarten lagen zo mooi dat hij moest glimlachen."
2,2,H,He caught the pass and scored another touchdown. There was nothing he enjoyed more than a good game of,football,baseball,monopoly,helicopter,Hij ving de pass en scoorde nog een touchdown. Er was niets waar hij meer van genoot dan een goed potje,voetbal,honkbal,monopolie,"The stadium lights glared against the night sky, and the air vibrated with the low roar of thousands of fans packed shoulder to shoulder in the bleachers. It was the fourth quarter, and the scoreboard showed a one-possession game with barely a minute left. Sweat ran beneath his shoulder pads as he jogged back to the huddle, listening to the quarterback call the play. His cleats dug into the turf while the defense shifted, trying to anticipate the snap. He took a steadying breath, fixed his eyes on the cornerback across from him, and waited for the ball.",helikopter,"De stadionlichten priemden in de nachtelijke hemel en de lucht trilde van het lage gebrul van duizenden fans, schouder aan schouder opeengepakt op de tribunes. Het was het vierde kwart en het scorebord liet een wedstrijd van één balbezit zien, met nog nauwelijks een minuut te spelen. Zweet liep onder zijn schouderpads door terwijl hij terugjogde naar de huddle en luisterde naar de quarterback die de play afriep. Zijn noppen beten zich in het kunstgras terwijl de verdediging verschoof, proberend de snap te voorspellen. Hij haalde rustig adem, richtte zijn blik op de cornerback tegenover hem en wachtte op de bal."
3,3,H,Rich couldn't count the number of Yankees games he had seen with his father. They both shared a lifelong interest in,baseball,football,chess,plane,Rich kon het aantal Yankees-wedstrijden dat hij samen met zijn vader had gezien niet tellen. Ze deelden allebei een levenslange interesse in,honkbal,voetbal,schaken,"The old ticket stubs were still tucked into a shoebox in Rich’s closet, their edges curled and faded from years of handling. Whenever life felt too fast, he would take them out and let each date and seat number pull him back to the Bronx: the smell of hot dogs, the echo of the crowd under the lights, the hum of the subway after a late inning. His father never talked much on the walk to the stadium, but once the first pitch was thrown, he came alive, explaining counts and matchups like they mattered more than anything else. In those moments, Rich felt certain they were speaking the same language.",vliegtuig,"De oude toegangsbewijzen zaten nog steeds weggestopt in een schoenendoos in Rich’ kast, met omgekrulde randen en vaal geworden door jaren van vasthouden. Als het leven te snel ging, haalde hij ze tevoorschijn en liet elke datum en elk stoelnummer hem terugvoeren naar de Bronx: de geur van hotdogs, het galmen van de menigte onder de schijnwerpers, het gezoem van de metro na een late inning. Zijn vader zei onderweg zelden iets, maar zodra de eerste worp kwam, leefde hij op en legde standen en match-ups uit alsof het nergens anders om ging. Dan wist Rich zeker dat ze dezelfde taal spraken."
4,4,L,"She felt that she couldn't leave Venice without the experience. It might be a touristy thing to do, but she wanted to ride in a",gondola,ferry,helicopter,toast,"Ze had het gevoel dat ze Venetië niet kon verlaten zonder die ervaring. Het is misschien iets toeristisch om te doen, maar ze wilde in een rijden in een",gondel,veerboot,helikopter,"The afternoon light turned the canals into ribbons of molten gold, and Venice seemed to breathe in slow, salt-sweet pulses around her. She wandered without urgency, letting alleys narrow and then open onto small campos where laundry fluttered like flags. Every bridge offered another postcard view—arched windows, peeling paint, the distant echo of footsteps on stone. She paused to watch a gondolier steer with effortless precision, his oar dipping and lifting as if conducting the water. The city felt both theatrical and intimate, and she knew her time here was slipping away too quickly.",toast,"Het namiddaglicht veranderde de kanalen in linten van gesmolten goud, en Venetië leek om haar heen te ademen in trage, zoutzoete pulsen. Ze dwaalde zonder haast, liet steegjes zich versmallen en vervolgens uitkomen op kleine campi waar wasgoed wapperde als vlaggen. Elke brug bood weer een ansichtkaartbeeld: boogvensters, afbladderende verf, de verre echo van voetstappen op steen. Ze bleef staan om een gondelier te zien sturen met moeiteloze precisie, zijn riem dompelde en hief alsof hij het water dirigeerde. De stad voelde tegelijk theatraal en intiem, en ze wist dat haar tijd hier veel te snel wegglipte."
5,5,L,Getting both himself and his car to work on the neighboring island was time-consuming. Every morning he drove for a few minutes and then boarded the,ferry,gondola,plane,bagel,Het kostte veel tijd om zowel zichzelf als zijn auto naar zijn werk op het naburige eiland te krijgen. Elke ochtend reed hij een paar minuten en ging daarna aan boord van de,veerboot,gondel,vliegtuig,"Since taking the new job across the channel, he’d had to reorganize his entire routine around the water. His apartment was affordable, but it sat on the wrong side of the strait, and moving closer wasn’t an option with rent climbing every month. He tried leaving the car behind and relying on buses, yet the routes didn’t line up with his shifts and the late-night return trips felt unsafe. Packing tools and paperwork into a backpack only helped so much; some days he needed supplies that wouldn’t fit. By the time sunrise colored the harbor, he was already watching the clock.",bagel,"Sinds hij de nieuwe baan aan de overkant van het kanaal had aangenomen, moest hij zijn hele routine opnieuw inrichten rond het water. Zijn appartement was betaalbaar, maar lag aan de verkeerde kant van de zeestraat, en dichterbij verhuizen was geen optie nu de huur elke maand stijgt. Hij probeerde de auto te laten staan en op bussen te vertrouwen, maar de lijnen sloten niet aan op zijn diensten en de late ritten terug voelden onveilig. Gereedschap en papieren in een rugzak helpen maar beperkt; sommige dagen had hij spullen nodig die niet pasten. Tegen zonsopgang hield hij de tijd al in de gaten."
6,6,L,The patient was in critical condition and the ambulance wouldn't be fast enough. They decided they would have to use the,helicopter,plane,ferry,cake,De patiënt verkeerde in kritieke toestand en de ambulance zou niet snel genoeg zijn. Ze besloten dat ze de moesten gebruiken,helikopter,vliegtuig,veerboot,"Rain hammered the windows of the rural clinic as the power flickered and the generator groaned to life. Dr. Singh checked the monitor again, watching the numbers slip despite every medication they could safely give. The nearest trauma center was over a hundred miles away, and the narrow mountain roads were already clogged by a chain-reaction crash that had shut the highway down. A nurse held pressure on the wound while another read out the latest vitals, voice tight with urgency. Outside, the radio crackled with dispatch updates, each one worse than the last. Dr. Singh weighed the options, jaw set, and reached for the emergency transport protocol.",taart,"De regen beukte tegen de ramen van de plattelandskliniek terwijl de stroom haperde en de generator kreunend aansloeg. Dr. Singh controleerde opnieuw de monitor en zag de waarden dalen, ondanks alle medicatie die ze veilig konden toedienen. Het dichtstbijzijnde traumacentrum lag meer dan honderd mijl verderop, en de smalle bergwegen zaten al verstopt door een kettingbotsing die de snelweg had afgesloten. Een verpleegkundige hield druk op de wond, terwijl een ander de nieuwste vitale waarden voorlas, met een stem gespannen van urgentie. Buiten kraakte de radio met meldkamerupdates, telkens erger. Dr. Singh wikte de opties, kaken strak, en greep naar het protocol voor spoedtransport."
7,7,L,"Amy was very anxious about traveling abroad for the first time. She felt surprisingly better, however, when she actually boarded the",plane,helicopter,gondola,cookies,Amy was erg nerveus over haar eerste reis naar het buitenland. Ze voelde zich echter verrassend veel beter toen ze daadwerkelijk aan boord ging van de,vliegtuig,helikopter,gondel,"Ever since she bought the ticket, Amy had been counting down the days with a knot in her stomach. Friends told her it would be exciting, but she kept imagining missed connections, confusing signs in another language, and the embarrassment of not knowing what to do. In the week before departure she double-checked her passport, reread the airline emails, and watched videos about airport security, hoping to feel prepared. Even the drive to the terminal felt unreal, as if she were walking into a test she hadn’t studied for. By the time she reached the gate, her hands were cold and her thoughts were racing.",koekjes,"Sinds ze het ticket had gekocht, telde Amy de dagen af met een knoop in haar maag. Vrienden zeiden dat het spannend zou worden, maar zij stelde zich telkens gemiste aansluitingen voor, verwarrende borden in een andere taal en de schaamte dat ze niet wist wat ze moest doen. In de week voor vertrek controleerde ze haar paspoort dubbel, las ze de e-mails van de luchtvaartmaatschappij opnieuw en keek ze video’s over de veiligheidscontrole op de luchthaven, in de hoop zich beter voorbereid te voelen. Zelfs de rit naar de terminal voelde onwerkelijk, alsof ze een toets in liep waarvoor ze niet had geleerd. Toen ze bij de gate aankwam, waren haar handen koud en raasden haar gedachten."
8,8,L,"The day before the wedding, the kitchen was just covered with frosting. Annette's sister was responsible for making the",cake,cookies,toast,lipstick,De dag voor de bruiloft was de keuken helemaal bedekt met glazuur. Annette's zus was verantwoordelijk voor het maken van de,taart,koekjes,toast,"Annette had planned every detail of the small backyard ceremony herself, from the wildflower bouquets to the borrowed string lights draped along the fence. Still, nothing made her as nervous as the dessert table, because her family had insisted on a homemade cake the way their mother used to do it. She tried to keep everyone organized, but relatives kept drifting in and out, offering advice and stealing tastes. By late afternoon, mixing bowls crowded the counters, and the air smelled like vanilla and butter. Annette hovered in the doorway, bracing herself for whatever chaos came next.",lippenstift,"Annette had elk detail van de kleine ceremonie in de achtertuin zelf gepland, van de veldboeketten tot de geleende lichtslingers die langs het hek hingen. Toch maakte niets haar zo zenuwachtig als de desserttafel, omdat haar familie had aangedrongen op een zelfgemaakte taart, zoals hun moeder die vroeger bakte. Ze probeerde iedereen georganiseerd te houden, maar familieleden bleven komen en gaan, gaven advies en snoepten stiekem van het beslag. Tegen het einde van de middag stonden er overal mengkommen op het aanrecht en rook het naar vanille en boter. Annette bleef in de deuropening staan, schrap voor de volgende chaos."
9,9,H,The little girl was happy that Santa Claus left nothing but crumbs on the plate. She decided he must have really enjoyed the,cookies,cake,bagel,mascara,"Het kleine meisje was blij dat de Kerstman niets anders dan kruimels op het bord had achtergelaten. Ze besloot dat hij het echt heel lekker gevonden moest hebben, de",koekjes,taart,bagel,"All December, she had been counting down the days by opening the tiny doors on her advent calendar and circling Christmas Eve in red marker. After dinner, she helped her mother arrange a careful holiday display: a glass of milk set beside a plate of warm chocolate chip cookies, with a carrot laid neatly for the reindeer. Before heading upstairs, she sprinkled a bit of glitter on the hearth to look like snow and wrote a note in her best handwriting, reminding Santa where to find the treats. She fell asleep imagining footsteps on the roof and a jolly laugh drifting through the dark.",mascara,"De hele maand december had ze de dagen afgeteld door de kleine deurtjes van haar adventskalender te openen en kerstavond met een rode stift te omcirkelen. Na het eten hielp ze haar moeder een zorgvuldig kersttafereel klaar te zetten: een glas melk naast een bord met warme chocolatechipkoekjes, met een wortel netjes voor de rendieren. Voor ze naar boven ging, strooide ze een beetje glitter op de haard alsof het sneeuw was en schreef ze een briefje in haar netste handschrift, om de Kerstman eraan te herinneren waar hij de lekkernijen kon vinden. Ze viel in slaap terwijl ze voetstappen op het dak en een vrolijke lach in het donker voor zich zag."
