"","target","Condition","ContextCode","PlausibilityJudgement","Cloze","Sentence","context","lp_pythia","s_lp"
"1","raise","BC",1,2.55,0.225806451612903,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major raise","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",-6.3964056968689,0.441752555900394
"2","couch","BC",8,1.21,0.1875,"The cigar burned a hole in the couch","The cigar burned a hole in the",-9.30389595031738,-0.381366695521867
"3","try","BC",11,1.33,0.0344827586206896,"His first film was a failure, but he learned some techniques in that first try","His first film was a failure, but he learned some techniques in that first",-8.15231895446777,-0.0553517781357918
"4","look","BC",17,1.79,0.03125,"He was hired for the job because of his fresh new look","He was hired for the job because of his fresh new",-6.11677837371826,0.520915893640209
"5","print","BC",18,1.46,0.0689655172413793,"The journal issue that has the new article about diseases of the eye is still in print","The journal issue that has the new article about diseases of the eye is still in",-3.99379444122314,1.12193904177433
"6","ball","BC",22,1.33,0.03125,"Every spring they held the annual ball","Every spring they held the annual",-5.96898078918457,0.562757835156298
"7","wheels","BC",23,1.63,0.09375,"Penelope started to assemble her new bicycle, but was missing the wheels","Penelope started to assemble her new bicycle, but was missing the",-5.75084066390991,0.624513961907977
"8","management","BC",24,1.25,0.1875,"The restaurant will reopen with new management","The restaurant will reopen with new",-7.29766321182251,0.186603837803256
"9","bugs","BC",28,1.13,0,"Jennifer disliked walking under the trees at the edge of the park because they were always full of bugs","Jennifer disliked walking under the trees at the edge of the park because they were always full of",-7.48464584350586,0.133668491369122
"10","pretty","BC",36,1.28,0.3125,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or pretty","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",-6.3777494430542,0.447034197569213
"11","print","BC",37,1.73,0.0689655172413793,"I don't know why people like to see their initials in print","I don't know why people like to see their initials in",-6.11258220672607,0.52210384115933
