"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context","lp_benjamin_gerpt2","s_lp"
"1","Axt",1,"A","und hackte die Holzscheite.",0,0.75,1,6.9,3.1,6,"die","Axt","Gestern schärfte der Holzfäller, bevor er das Holz stapelte, die",-7.31705290079117,-0.461596856282432
"2","Axt",1,"B","und hackte die Holzscheite.",0,0.67,1,3.1,1.2,6,"die","Axt","Gestern schärfte der Holzfäller, bevor er den Film schaute, die",-8.53382933139801,-0.929670630467669
"3","Axt",1,"C","und hackte die Holzscheite.",0,0,1,6.9,3.1,1.4,"die","Axt","Gestern aß der Holzfäller, bevor er das Holz stapelte, die",-7.21726912260056,-0.423211686677487
"4","Axt",1,"D","und hackte die Holzscheite.",0,0,1,3.1,1.2,1.4,"die","Axt","Gestern aß der Holzfäller, bevor er den Film schaute, die",-8.36302828788757,-0.863966293122118
"5","Messer",2,"A","und rasiert den Kunden.",0,0.67,1,5,5.1,6.4,"das","Messer","Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat, das",-5.35648107528687,0.292602708108669
"6","Messer",2,"B","und rasiert den Kunden.",0,0.75,1,1.2,1.4,6.4,"das","Messer","Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat, das",-6.95083475112915,-0.320718789305129
"7","Messer",2,"C","und rasiert den Kunden.",0,0,1,5,5.1,1.4,"das","Messer","Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat, das",-5.82018089294434,0.114225055254487
"8","Messer",2,"D","und rasiert den Kunden.",0,0,1,1.2,1.4,1.4,"das","Messer","Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat, das",-7.0885443687439,-0.373693402255507
"9","Kaffee",3,"A","und gießt die Milch dazu.",0,0.58,0,5.8,2.3,5.8,"den","Kaffee","Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat, den",-5.10912990570068,0.387754613245092
"10","Kaffee",3,"B","und gießt die Milch dazu.",0,0.25,0,3.5,3.5,5.8,"den","Kaffee","Sogleich süßt der Kellner, nachdem er das Radio angemacht hat, den",-5.45739078521729,0.253784411180028
"11","Kaffee",3,"C","und gießt die Milch dazu.",0,0,0,5.8,2.3,3,"den","Kaffee","Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat, den",-4.94277381896973,0.451749049212273
"12","Kaffee",3,"D","und gießt die Milch dazu.",0,0,0,3.5,3.5,3,"den","Kaffee","Sogleich putzt der Kellner, nachdem er das Radio angemacht hat, den",-5.26397800445557,0.32818710997462
"13","Ofen",4,"A","auf 180 Grad.",0,1,0,6,2.7,6.6,"den","Ofen","Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat, den",-4.03489112854004,0.800996508924271
"14","Ofen",4,"B","auf 180 Grad.",0,0.75,0,2.4,1.3,6.6,"den","Ofen","Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat, den",-3.92616558074951,0.8428214294475
"15","Ofen",4,"C","auf 180 Grad.",0,0,0,6,2.7,1.3,"den","Ofen","Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat, den",-4.42231273651123,0.651961822121907
"16","Ofen",4,"D","auf 180 Grad.",0,0.08,0,2.4,1.3,1.3,"den","Ofen","Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat, den",-4.32191133499146,0.690584581209549
"17","Weinflasche",5,"A","für die Weinprobe.",0,1,1,5.9,1.7,6.8,"die","Weinflasche","Zufrieden entkorkt der Winzer, der die Reben geschnitten hat, die",-9.97607898712158,-1.48448022629063
"18","Weinflasche",5,"B","für die Weinprobe.",0,1,1,2,2.7,6.8,"die","Weinflasche","Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat, die",-10.7934556007385,-1.79891149471652
"19","Weinflasche",5,"C","für die Weinprobe.",0,0.08,1,5.9,1.7,1,"die","Weinflasche","Zufrieden glättet der Winzer, der die Reben geschnitten hat, die",-10.0004277229309,-1.49384678236472
"20","Weinflasche",5,"D","für die Weinprobe.",0,0,1,2,2.7,1,"die","Weinflasche","Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat, die",-11.1070103645325,-1.91953082790791
"21","Ticket",6,"A","für die Fahrt.",0,0.33,1,6.7,2.3,6.3,"das","Ticket","Umgehend löst der Fahrgast, der den Automaten bedient, das",-3.85006427764893,0.872096342460847
"22","Ticket",6,"B","für die Fahrt.",0,0.33,1,1.3,1.3,6.3,"das","Ticket","Umgehend löst der Fahrgast, der die Einkaufstasche abstellt, das",-3.84361028671265,0.87457908606116
"23","Ticket",6,"C","für die Fahrt.",0,0,1,6.7,2.3,1.2,"das","Ticket","Umgehend knotet der Fahrgast, der den Automaten bedient, das",-5.07960224151611,0.399113417434661
"24","Ticket",6,"D","für die Fahrt.",0,0,1,1.3,1.3,1.2,"das","Ticket","Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt, das",-5.25116729736328,0.333115177175656
"25","Sieg",7,"A","mit einer Party.",0,0.5,0,6.8,4.4,6.2,"den","Sieg","Am Abend feiert der Gewinner, der den Pokal erhält, den",-4.88187217712402,0.475176903858158
"26","Sieg",7,"B","mit einer Party.",0,0.75,0,1.8,2,6.2,"den","Sieg","Am Abend feiert der Gewinner, der das Eis isst, den",-5.29144096374512,0.317622563619506
"27","Sieg",7,"C","mit einer Party.",0,0,0,6.8,4.4,1.8,"den","Sieg","Am Abend knabbert der Gewinner, der den Pokal erhält, den",-5.63875389099121,0.184017023119084
"28","Sieg",7,"D","mit einer Party.",0,0,0,1.8,2,1.8,"den","Sieg","Am Abend knabbert der Gewinner, der das Eis isst, den",-6.07437610626221,0.016440359656646
"29","Fisch",8,"A","für das Abendessen.",1,0.83,1,7,4.9,6.9,"den","Fisch","Endlich fängt der Angler, der den Köder auswarf, den",-3.02341604232788,1.19009425045559
"30","Fisch",8,"B","für das Abendessen.",1,0.83,1,2,1.2,6.9,"den","Fisch","Endlich fängt der Angler, der die Zeitung las, den",-4.50063896179199,0.621831018333602
"31","Fisch",8,"C","für das Abendessen.",1,0,1,7,4.9,1.3,"den","Fisch","Endlich baut der Angler, der den Köder auswarf, den",-3.24314498901367,1.10556815775204
"32","Fisch",8,"D","für das Abendessen.",1,0,1,2,1.2,1.3,"den","Fisch","Endlich baut der Angler, der die Zeitung las, den",-5.02358150482178,0.420663668571657
"33","Unkraut",9,"A","und leerte den Kompost.",0,0.83,0,6.7,3.3,6.9,"das","Unkraut","Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte, das",-4.24535465240479,0.720034671181765
"34","Unkraut",9,"B","und leerte den Kompost.",0,0.67,0,3.3,1.4,6.9,"das","Unkraut","Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss, das",-6.80095863342285,-0.263063924935319
"35","Unkraut",9,"C","und leerte den Kompost.",0,0,0,6.7,3.3,1.2,"das","Unkraut","Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte, das",-4.62239933013916,0.574991817865181
"36","Unkraut",9,"D","und leerte den Kompost.",0,0,0,3.3,1.4,1.2,"das","Unkraut","Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss, das",-6.51516532897949,-0.153123966137007
"37","Klassenzimmer",10,"A","und nimmt ein Stück Kreide.",1,0.75,1,6.8,3.7,5.5,"das","Klassenzimmer","Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt, das",-8.08884048461914,-0.758490778735792
"38","Klassenzimmer",10,"B","und nimmt ein Stück Kreide.",1,0.75,1,1.9,2.6,5.5,"das","Klassenzimmer","Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt, das",-8.33903789520264,-0.854737585722992
"39","Klassenzimmer",10,"C","und nimmt ein Stück Kreide.",1,0,1,6.8,3.7,4.7,"das","Klassenzimmer","Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt, das",-8.03190898895264,-0.736590173681057
"40","Klassenzimmer",10,"D","und nimmt ein Stück Kreide.",1,0,1,1.9,2.6,4.7,"das","Klassenzimmer","Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt, das",-8.35807704925537,-0.862061633486074
"41","Käse",11,"A","und gibt Öl in die Pfanne.",0,0.5,1,5.2,4.6,6.4,"den","Käse","Schnell reibt der Chefkoch, während er die Nudeln kocht, den",-5.39939975738525,0.276092600740112
"42","Käse",11,"B","und gibt Öl in die Pfanne.",0,0.58,1,1.7,1.2,6.4,"den","Käse","Schnell reibt der Chefkoch, während er die Nachrichten hört, den",-7.30960369110107,-0.458731268482871
"43","Käse",11,"C","und gibt Öl in die Pfanne.",0,0,1,5.2,4.6,1.1,"den","Käse","Schnell flickt der Chefkoch, während er die Nudeln kocht, den",-5.55468082427979,0.216358541785186
"44","Käse",11,"D","und gibt Öl in die Pfanne.",0,0,1,1.7,1.2,1.1,"den","Käse","Schnell flickt der Chefkoch, während er die Nachrichten hört, den",-7.57558345794678,-0.561049286972338
"45","Bier",12,"A","das zuvor gebraut wurde.",0,0.67,1,3.9,1.2,5,"das","Bier","Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das",-6.90922069549561,-0.30471055016638
"46","Bier",12,"B","das zuvor gebraut wurde.",0,0.58,1,1.8,2.3,5,"das","Bier","Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte, das",-6.51620721817017,-0.153524763681646
