,Unnamed: 0,Tar,Item,Condition,Completion,Part,Cloze,Cloze_Balanced,Association_Noun,Association_Verb,Association_MainVerb,article,target,context,semantic_association,implementation,model
0,1,Axt,1,A,und hackte die Holzscheite.,0,0.75,1,6.9,3.1,6.0,die,Axt,"Gestern schärfte der Holzfäller, bevor er das Holz stapelte, die",0.6975135,SE,jinaai/jina-embeddings-v2-base-de
1,2,Axt,1,B,und hackte die Holzscheite.,0,0.67,1,3.1,1.2,6.0,die,Axt,"Gestern schärfte der Holzfäller, bevor er den Film schaute, die",0.7347704,SE,jinaai/jina-embeddings-v2-base-de
2,3,Axt,1,C,und hackte die Holzscheite.,0,0.0,1,6.9,3.1,1.4,die,Axt,"Gestern aß der Holzfäller, bevor er das Holz stapelte, die",0.5972127,SE,jinaai/jina-embeddings-v2-base-de
3,4,Axt,1,D,und hackte die Holzscheite.,0,0.0,1,3.1,1.2,1.4,die,Axt,"Gestern aß der Holzfäller, bevor er den Film schaute, die",0.6922253,SE,jinaai/jina-embeddings-v2-base-de
4,5,Messer,2,A,und rasiert den Kunden.,0,0.67,1,5.0,5.1,6.4,das,Messer,"Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat, das",0.6205167,SE,jinaai/jina-embeddings-v2-base-de
5,6,Messer,2,B,und rasiert den Kunden.,0,0.75,1,1.2,1.4,6.4,das,Messer,"Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat, das",0.31926683,SE,jinaai/jina-embeddings-v2-base-de
6,7,Messer,2,C,und rasiert den Kunden.,0,0.0,1,5.0,5.1,1.4,das,Messer,"Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat, das",0.60009843,SE,jinaai/jina-embeddings-v2-base-de
7,8,Messer,2,D,und rasiert den Kunden.,0,0.0,1,1.2,1.4,1.4,das,Messer,"Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat, das",0.5159878,SE,jinaai/jina-embeddings-v2-base-de
8,9,Kaffee,3,A,und gießt die Milch dazu.,0,0.58,0,5.8,2.3,5.8,den,Kaffee,"Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat, den",0.3064601,SE,jinaai/jina-embeddings-v2-base-de
9,10,Kaffee,3,B,und gießt die Milch dazu.,0,0.25,0,3.5,3.5,5.8,den,Kaffee,"Sogleich süßt der Kellner, nachdem er das Radio angemacht hat, den",0.46893474,SE,jinaai/jina-embeddings-v2-base-de
10,11,Kaffee,3,C,und gießt die Milch dazu.,0,0.0,0,5.8,2.3,3.0,den,Kaffee,"Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat, den",0.21191777,SE,jinaai/jina-embeddings-v2-base-de
11,12,Kaffee,3,D,und gießt die Milch dazu.,0,0.0,0,3.5,3.5,3.0,den,Kaffee,"Sogleich putzt der Kellner, nachdem er das Radio angemacht hat, den",0.28875777,SE,jinaai/jina-embeddings-v2-base-de
12,13,Ofen,4,A,auf 180 Grad.,0,1.0,0,6.0,2.7,6.6,den,Ofen,"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat, den",0.5490694,SE,jinaai/jina-embeddings-v2-base-de
13,14,Ofen,4,B,auf 180 Grad.,0,0.75,0,2.4,1.3,6.6,den,Ofen,"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat, den",0.5512506,SE,jinaai/jina-embeddings-v2-base-de
14,15,Ofen,4,C,auf 180 Grad.,0,0.0,0,6.0,2.7,1.3,den,Ofen,"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat, den",0.5583069,SE,jinaai/jina-embeddings-v2-base-de
15,16,Ofen,4,D,auf 180 Grad.,0,0.08,0,2.4,1.3,1.3,den,Ofen,"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat, den",0.5991709,SE,jinaai/jina-embeddings-v2-base-de
16,17,Weinflasche,5,A,für die Weinprobe.,0,1.0,1,5.9,1.7,6.8,die,Weinflasche,"Zufrieden entkorkt der Winzer, der die Reben geschnitten hat, die",0.55540633,SE,jinaai/jina-embeddings-v2-base-de
17,18,Weinflasche,5,B,für die Weinprobe.,0,1.0,1,2.0,2.7,6.8,die,Weinflasche,"Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat, die",0.37668145,SE,jinaai/jina-embeddings-v2-base-de
18,19,Weinflasche,5,C,für die Weinprobe.,0,0.08,1,5.9,1.7,1.0,die,Weinflasche,"Zufrieden glättet der Winzer, der die Reben geschnitten hat, die",0.23427653,SE,jinaai/jina-embeddings-v2-base-de
19,20,Weinflasche,5,D,für die Weinprobe.,0,0.0,1,2.0,2.7,1.0,die,Weinflasche,"Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat, die",0.5004665,SE,jinaai/jina-embeddings-v2-base-de
20,21,Ticket,6,A,für die Fahrt.,0,0.33,1,6.7,2.3,6.3,das,Ticket,"Umgehend löst der Fahrgast, der den Automaten bedient, das",0.69783753,SE,jinaai/jina-embeddings-v2-base-de
21,22,Ticket,6,B,für die Fahrt.,0,0.33,1,1.3,1.3,6.3,das,Ticket,"Umgehend löst der Fahrgast, der die Einkaufstasche abstellt, das",0.59629923,SE,jinaai/jina-embeddings-v2-base-de
22,23,Ticket,6,C,für die Fahrt.,0,0.0,1,6.7,2.3,1.2,das,Ticket,"Umgehend knotet der Fahrgast, der den Automaten bedient, das",0.76798195,SE,jinaai/jina-embeddings-v2-base-de
23,24,Ticket,6,D,für die Fahrt.,0,0.0,1,1.3,1.3,1.2,das,Ticket,"Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt, das",0.41560826,SE,jinaai/jina-embeddings-v2-base-de
24,25,Sieg,7,A,mit einer Party.,0,0.5,0,6.8,4.4,6.2,den,Sieg,"Am Abend feiert der Gewinner, der den Pokal erhält, den",0.3293738,SE,jinaai/jina-embeddings-v2-base-de
