"","ItemNum","Condition","context","target","continuation","lp_benjamin_gerpt2","s_lp"
"1",1,"control","Johann betrat das Restaurant. Wenig später öffnete er die","Speisekarte","und verschaffte sich einen Überblick.",-7.63937139511108,0.0719360720961867
"2",1,"script-related","Johann verließ das Restaurant. Wenig später öffnete er die","Speisekarte","und verschaffte sich einen Überblick.",-7.98241949081421,-0.0125944646992796
"3",1,"script-unrelated","Johann betrat die Wohnung. Wenig später öffnete er die","Speisekarte","und verschaffte sich einen Überblick.",-11.5615568161011,-0.894530272420577
"4",2,"control","Sabine betrat das Kino. Schnell ging sie zur","Kasse","und kaufte eine Karte.",-3.07568740844727,1.19647418202761
"5",2,"script-related","Sabine verließ das Kino. Schnell ging sie zur","Kasse","und kaufte eine Karte.",-3.87002801895142,1.00074058360396
"6",2,"script-unrelated","Sabine betrat die Schule. Schnell ging sie zur","Kasse","und kaufte eine Karte.",-5.01507472991943,0.718589438192052
"7",3,"control","Kevin betrat den Bauernhof. Ohne zu zögern nahm er eine","Mistgabel","und fing an zu schaufeln.",-14.2254458963871,-1.55093961192914
"8",3,"script-related","Kevin verließ den Bauernhof. Ohne zu zögern nahm er eine","Mistgabel","und fing an zu schaufeln.",-13.7454213500023,-1.4326566857472
"9",3,"script-unrelated","Kevin betrat die Kirche. Ohne zu zögern nahm er eine","Mistgabel","und fing an zu schaufeln.",-15.4504704475403,-1.85279810988803
"10",4,"control","Susi betrat die Arztpraxis. Freundlich sprach sie mit der","Arzthelferin","über die Problematik.",-6.96667330223136,0.23769571806029
"11",4,"script-related","Susi verließ die Arztpraxis. Freundlich sprach sie mit der","Arzthelferin","über die Problematik.",-6.62471477105282,0.321957775084871
"12",4,"script-unrelated","Susi betrat das Gehege. Freundlich sprach sie mit der","Arzthelferin","über die Problematik.",-11.1805223301053,-0.800639503043793
"13",5,"control","Roman betrat die Bücherei. Kurz danach ging er zum","Regal","und suchte einen Krimi.",-7.56232690811157,0.0909206166098402
"14",5,"script-related","Roman verließ die Bücherei. Kurz danach ging er zum","Regal","und suchte einen Krimi.",-8.94162559509277,-0.248952596132616
"15",5,"script-unrelated","Roman betrat die Kneipe. Kurz danach ging er zum","Regal","und suchte einen Krimi.",-7.98398017883301,-0.0129790340866389
"16",6,"control","Lea begann damit Spaghetti zu kochen. Vorsichtig öffnete sie die","Nudelpackung","mit einem Handgriff.",-18.218664675951,-2.53490929783111
"17",6,"script-related","Lea war fertig damit Spaghetti zu kochen. Vorsichtig öffnete sie die","Nudelpackung","mit einem Handgriff.",-18.4017602801323,-2.58002591529728
"18",6,"script-unrelated","Lea begann die Wände zu streichen. Vorsichtig öffnete sie die","Nudelpackung","mit einem Handgriff.",-19.7510869503021,-2.91251371852532
"19",7,"control","Peter erreichte das Theater. Wenig später ging er zur","Loge","und setzte sich.",-8.98458987474442,-0.259539431236714
"20",7,"script-related","Peter verließ das Theater. Wenig später ging er zur","Loge","und setzte sich.",-9.26315540075302,-0.328180807595197
"21",7,"script-unrelated","Peter erreichte den Supermarkt. Wenig später ging er zur","Loge","und setzte sich.",-9.70845675468445,-0.437907586303645
"22",8,"control","Lisa betrat den Bahnhof. Wenig später war sie am","Gleis","und wartete auf den Zug.",-4.19015884399414,0.921857095181811
"23",8,"script-related","Lisa verließ den Bahnhof. Wenig später war sie am","Gleis","und wartete auf den Zug.",-4.88514852523804,0.750604575320289
"24",8,"script-unrelated","Lisa betrat das Haus. Wenig später war sie am","Gleis","und wartete auf den Zug.",-7.09204769134521,0.206802194542907
"25",9,"control","Tim begann im Fitnessstudio zu trainieren. Umgehend war er auf dem","Laufband","und rann wie verrückt.",-4.30618460476398,0.893267168688049
"26",9,"script-related","Tim hörte auf im Fitnessstudio zu trainieren. Umgehend war er auf dem","Laufband","und rann wie verrückt.",-4.85729497671127,0.757467972721753
"27",9,"script-unrelated","Tim begann seine Fahrstunde. Umgehend war er auf dem","Laufband","und rann wie verrückt.",-6.61339172720909,0.3247478881514
"28",10,"control","Maria erreichte den Flughafen. Sofort ging sie zum","Check-in","um den Koffer aufzugeben.",-5.99073193967342,0.478177587195381
"29",10,"script-related","Maria verließ den Flughafen. Sofort ging sie zum","Check-in","um den Koffer aufzugeben.",-6.02272927761078,0.470293117974449
"30",10,"script-unrelated","Maria erreichte das Einkaufszentrum. Sofort ging sie zum","Check-in","um den Koffer aufzugeben.",-6.72774022817612,0.296571255517169
"31",11,"control","Lukas kam zur Geburtstagsfeier. Nach einer Weile überreichte er den","Kuchen","und gratulierte.",-6.0510082244873,0.463324898096756
"32",11,"script-related","Lukas verließ die Geburtstagsfeier. Nach einer Weile überreichte er den","Kuchen","und gratulierte.",-4.76297378540039,0.780709672741556
