"","ItemNum","Condition","context","target","continuation"
"1",1,"control","Johan betrad het restaurant. Even later opende hij de","menukaart","en kreeg een overzicht."
"2",1,"script-related","Johan verliet het restaurant. Even later opende hij de","menukaart","en kreeg een overzicht."
"3",1,"script-unrelated","Johan betrad het appartement. Even later opende hij de","menukaart","en kreeg een overzicht."
"4",2,"control","Sabine betrad de bioscoop. Snel liep ze naar de","kassa","en kocht een kaartje."
"5",2,"script-related","Sabine verliet de bioscoop. Snel liep ze naar de","kassa","en kocht een kaartje."
"6",2,"script-unrelated","Sabine betrad de school. Snel liep ze naar de","kassa","en kocht een kaartje."
"7",3,"control","Kevin betrad de boerderij. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen."
"8",3,"script-related","Kevin verliet de boerderij. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen."
"9",3,"script-unrelated","Kevin betrad de kerk. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen."
"10",4,"control","Susi betrad de huisartsenpraktijk. Vriendelijk sprak ze met de","doktersassistente","over de problematiek."
"11",4,"script-related","Susi verliet de huisartsenpraktijk. Vriendelijk sprak ze met de","doktersassistente","over de problematiek."
"12",4,"script-unrelated","Susi betrad het verblijf. Vriendelijk sprak ze met de","doktersassistente","over de problematiek."
"13",5,"control","Roman betrad de bibliotheek. Kort daarna liep hij naar het","rek","en zocht een misdaadroman."
"14",5,"script-related","Roman verliet de bibliotheek. Kort daarna liep hij naar het","rek","en zocht een misdaadroman."
"15",5,"script-unrelated","Roman betrad de kroeg. Kort daarna liep hij naar het","rek","en zocht een misdaadroman."
"16",6,"control","Lea begon spaghetti te koken. Voorzichtig opende ze het","pastapak","in één handbeweging."
"17",6,"script-related","Lea was klaar met spaghetti koken. Voorzichtig opende ze het","pastapak","in één handbeweging."
"18",6,"script-unrelated","Lea begon de muren te verven. Voorzichtig opende ze het","pastapak","in één handbeweging."
"19",7,"control","Peter bereikte het theater. Even later liep hij naar de","loge","en ging zitten."
