"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context"
"1","Axt",1,"A","und hackte die Holzscheite.",0,0.75,1,6.9,3.1,6,"die","Axt","Gestern schärfte der Holzfäller, bevor er das Holz stapelte, die"
"2","Axt",1,"B","und hackte die Holzscheite.",0,0.67,1,3.1,1.2,6,"die","Axt","Gestern schärfte der Holzfäller, bevor er den Film schaute, die"
"3","Axt",1,"C","und hackte die Holzscheite.",0,0,1,6.9,3.1,1.4,"die","Axt","Gestern aß der Holzfäller, bevor er das Holz stapelte, die"
"4","Axt",1,"D","und hackte die Holzscheite.",0,0,1,3.1,1.2,1.4,"die","Axt","Gestern aß der Holzfäller, bevor er den Film schaute, die"
"5","Messer",2,"A","und rasiert den Kunden.",0,0.67,1,5,5.1,6.4,"das","Messer","Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat, das"
"6","Messer",2,"B","und rasiert den Kunden.",0,0.75,1,1.2,1.4,6.4,"das","Messer","Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat, das"
"7","Messer",2,"C","und rasiert den Kunden.",0,0,1,5,5.1,1.4,"das","Messer","Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat, das"
"8","Messer",2,"D","und rasiert den Kunden.",0,0,1,1.2,1.4,1.4,"das","Messer","Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat, das"
"9","Kaffee",3,"A","und gießt die Milch dazu.",0,0.58,0,5.8,2.3,5.8,"den","Kaffee","Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat, den"
"10","Kaffee",3,"B","und gießt die Milch dazu.",0,0.25,0,3.5,3.5,5.8,"den","Kaffee","Sogleich süßt der Kellner, nachdem er das Radio angemacht hat, den"
"11","Kaffee",3,"C","und gießt die Milch dazu.",0,0,0,5.8,2.3,3,"den","Kaffee","Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat, den"
"12","Kaffee",3,"D","und gießt die Milch dazu.",0,0,0,3.5,3.5,3,"den","Kaffee","Sogleich putzt der Kellner, nachdem er das Radio angemacht hat, den"
