"","ItemNum","Condition","context","target","continuation","lp_GroNLP_gpt2_small_dutch","s_lp"
"1",1,"control","Johan betrad het restaurant. Even later opende hij de","menukaart","en kreeg een overzicht.",-5.02379849925637,0.731698797546787
"2",1,"script-related","Johan verliet het restaurant. Even later opende hij de","menukaart","en kreeg een overzicht.",-6.94606361538172,0.323850987861482
"3",1,"script-unrelated","Johan betrad het appartement. Even later opende hij de","menukaart","en kreeg een overzicht.",-11.3221522700042,-0.604625608735141
"4",2,"control","Sabine betrad de bioscoop. Snel liep ze naar de","kassa","en kocht een kaartje.",-3.22240209579468,1.11390184090625
"5",2,"script-related","Sabine verliet de bioscoop. Snel liep ze naar de","kassa","en kocht een kaartje.",-3.38280820846558,1.07986840755506
"6",2,"script-unrelated","Sabine betrad de school. Snel liep ze naar de","kassa","en kocht een kaartje.",-5.60128355026245,0.609173547932114
"7",3,"control","Kevin betrad de boerderij. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen.",-13.0057973861694,-0.961845311238755
"8",3,"script-related","Kevin verliet de boerderij. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen.",-13.7971197366714,-1.12974051190588
"9",3,"script-unrelated","Kevin betrad de kerk. Zonder te aarzelen pakte hij een","mestvork","en begon te scheppen.",-16.4047909975052,-1.68301123569349
"10",4,"control","Susi betrad de huisartsenpraktijk. Vriendelijk sprak ze met de","doktersassistente","over de problematiek.",-7.07203024625778,0.297124594053849
"11",4,"script-related","Susi verliet de huisartsenpraktijk. Vriendelijk sprak ze met de","doktersassistente","over de problematiek.",-7.52950501441956,0.200061977344061
"12",4,"script-unrelated","Susi betrad het verblijf. Vriendelijk sprak ze met de","doktersassistente","over de problematiek.",-12.6786853671074,-0.892441814615404
"13",5,"control","Roman betrad de bibliotheek. Kort daarna liep hij naar het","rek","en zocht een misdaadroman.",-6.68084812164307,0.380121872303242
"14",5,"script-related","Roman verliet de bibliotheek. Kort daarna liep hij naar het","rek","en zocht een misdaadroman.",-7.93136405944824,0.114799372335891
"15",5,"script-unrelated","Roman betrad de kroeg. Kort daarna liep hij naar het","rek","en zocht een misdaadroman.",-7.10610914230347,0.289894060142512
"16",6,"control","Lea begon spaghetti te koken. Voorzichtig opende ze het","pastapak","in één handbeweging.",-19.5787365436554,-2.35642861615715
"17",6,"script-related","Lea was klaar met spaghetti koken. Voorzichtig opende ze het","pastapak","in één handbeweging.",-19.490371465683,-2.3376801598691
"18",6,"script-unrelated","Lea begon de muren te verven. Voorzichtig opende ze het","pastapak","in één handbeweging.",-21.0510993003845,-2.66882045033068
"19",7,"control","Peter bereikte het theater. Even later liep hij naar de","loge","en ging zitten.",-6.29069519042969,0.462900786149641
"20",7,"script-related","Peter verliet het theater. Even later liep hij naar de","loge","en ging zitten.",-7.01325988769531,0.309593926100221
"21",7,"script-unrelated","Peter bereikte de supermarkt. Even later liep hij naar de","loge","en ging zitten.",-11.0589122772217,-0.54877386717396
"22",8,"control","Lisa betrad het station. Even later was ze op het","perron","en wachtte op de trein.",-0.543228685855865,1.68234320617077
"23",8,"script-related","Lisa verliet het station. Even later was ze op het","perron","en wachtte op de trein.",-0.936519503593445,1.59889852560198
"24",8,"script-unrelated","Lisa betrad het huis. Even later was ze op het","perron","en wachtte op de trein.",-5.7110915184021,0.585875544490205
"25",9,"control","Tim begon in de sportschool te trainen. Meteen stapte hij op de","loopband","en rende als een gek.",-8.64107608795166,-0.0357805314995792
"26",9,"script-related","Tim stopte in de sportschool met trainen. Meteen stapte hij op de","loopband","en rende als een gek.",-8.97560548782349,-0.106757776973438
"27",9,"script-unrelated","Tim begon zijn rijles. Meteen stapte hij op de","loopband","en rende als een gek.",-10.440767288208,-0.41762178116756
"28",10,"control","Maria bereikte het vliegveld. Ze liep meteen naar de","check-in","om de koffer af te geven.",-12.8361971378326,-0.925861154201317
"29",10,"script-related","Maria verliet het vliegveld. Ze liep meteen naar de","check-in","om de koffer af te geven.",-12.5893075466156,-0.873478484315003
"30",10,"script-unrelated","Maria bereikte het winkelcentrum. Ze liep meteen naar de","check-in","om de koffer af te geven.",-14.7551536560059,-1.33300697724774
"31",11,"control","Lukas kwam naar het verjaardagsfeest. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige.",-3.3440363407135,1.08809465127527
"32",11,"script-related","Lukas verliet het verjaardagsfeest. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige.",-5.01834869384766,0.732855085085124
"33",11,"script-unrelated","Lukas kwam naar de les. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige.",-8.09512519836426,0.0800541016350974
"34",12,"control","Marie ging naar de kapper. Even later vroeg ze de","styliste","om een nieuwe coupe.",-11.1514424681664,-0.568406037258082
"35",12,"script-related","Marie verliet de kapper. Even later vroeg ze de","styliste","om een nieuwe coupe.",-11.567343711853,-0.656647981545617
"36",12,"script-unrelated","Marie ging naar de uni. Even later vroeg ze de","styliste","om een nieuwe coupe.",-12.2939414381981,-0.810810531095225
"37",13,"control","Thorsten begon te douchen. Als eerste gebruikte hij de","shampoo","en daarna de douchegel.",-5.85969645529985,0.554345971636936
"38",13,"script-related","Thorsten stopte met douchen. Als eerste gebruikte hij de","shampoo","en daarna de douchegel.",-5.39369668066502,0.653217342606699
"39",13,"script-unrelated","Thorsten begon te barbecueën. Als eerste gebruikte hij de","shampoo","en daarna de douchegel.",-8.52917408943176,-0.0120382367386246
"40",14,"control","Claudia betrad de bloemenwinkel. Snel vroeg ze om een","roos","voor een vriendin.",-8.02532386779785,0.0948638797171195
"41",14,"script-related","Claudia verliet de bloemenwinkel. Snel vroeg ze om een","roos","voor een vriendin.",-9.22005367279053,-0.158622452654237
"42",14,"script-unrelated","Claudia betrad de dierenwinkel. Snel vroeg ze om een","roos","voor een vriendin.",-9.93583869934082,-0.310490867075924
"43",15,"control","Jonathan ging naar de begraafplaats. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit.",-4.10094690322876,0.927500614344625
"44",15,"script-related","Jonathan verliet de begraafplaats. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit.",-4.89588832855225,0.758837553028811
"45",15,"script-unrelated","Jonathan ging naar de keuken. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit.",-11.0504884719849,-0.54698658482345
"46",16,"control","Lara ging de tuin in. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water.",-5.65869474411011,0.596992590443075
"47",16,"script-related","Lara verliet de tuin. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water.",-5.97939109802246,0.528950308231318
"48",16,"script-unrelated","Lara ging naar het fornuis. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water.",-7.87718200683594,0.126295201551543
"49",17,"control","Roman ging naar het museum. Nauwkeurig bekeek hij de","sculpturen","en was enthousiast.",-8.65924644470215,-0.039635743842414
"50",17,"script-related","Roman verliet het museum.  Nauwkeurig bekeek hij de","sculpturen","en was enthousiast.",-8.3574047088623,0.0244061460099238
"51",17,"script-unrelated","Roman ging naar de boekhandel. Nauwkeurig bekeek hij de","sculpturen","en was enthousiast.",-13.9459791183472,-1.16132407041623
"52",18,"control","Annika ging naar de banketbakker. Snel vroeg ze om een","taart","en betaalde meteen.",-4.753577709198,0.789031657843854
"53",18,"script-related","Annika verliet de banketbakker. Snel vroeg ze om een","taart","en betaalde meteen.",-5.75428867340088,0.576710385687136
"54",18,"script-unrelated","Annika ging naar de boetiek. Snel vroeg ze om een","taart","en betaalde meteen.",-7.42481803894043,0.222273457588681
"55",19,"control","Emil betrad de spa. Na een tijdje kreeg hij een","massage","en genoot ervan.",-9.20754528045654,-0.155968541716925
"56",19,"script-related","Emil verliet de spa. Na een tijdje kreeg hij een","massage","en genoot ervan.",-9.32258319854736,-0.180376185870958
"57",19,"script-unrelated","Emil betrad de apotheek. Na een tijdje kreeg hij een","massage","en genoot ervan.",-9.57202529907227,-0.233300422745966
"58",20,"control","Susanne betrad de manege. Snel legde ze het","zadel","op en reed weg.",-4.52025604248047,0.838535615401321
"59",20,"script-related","Susanne verliet de manege. Snel legde ze het","zadel","op en reed weg.",-5.2722749710083,0.678979438540457
"60",20,"script-unrelated","Susanne betrad de badkamer. Snel legde ze het","zadel","op en reed weg.",-10.0875930786133,-0.342688658461319
"61",21,"control","Martin kwam bij de veiligheidscontrole. Vlot opende hij de","koffer","en werd doorgelaten.",-4.67653179168701,0.805378523028293
"62",21,"script-related","Martin verliet de veiligheidscontrole. Vlot opende hij de","koffer","en werd doorgelaten.",-5.23442602157593,0.687009866287072
"63",21,"script-unrelated","Martin kwam bij de garage. Vlot opende hij de","koffer","en werd doorgelaten.",-6.18671464920044,0.484962381938115
"64",22,"control","Jutta ging naar de hotelreceptie. Direct kreeg ze een","kamer","en bedankte vriendelijk.",-5.4990701675415,0.63086020494605
"65",22,"script-related","Jutta verliet de hotelreceptie. Direct kreeg ze een","kamer","en bedankte vriendelijk.",-5.87451505661011,0.551201902675643
"66",22,"script-unrelated","Jutta ging naar het postkantoor. Direct kreeg ze een","kamer","en bedankte vriendelijk.",-6.64234113693237,0.388291915675562
"67",23,"control","Jens ging naar de tandarts. Angstig liep hij naar de","röntgen","en liet zich behandelen.",-4.43343067169189,0.856957391359371
"68",23,"script-related","Jens verliet de tandarts. Angstig liep hij naar de","röntgen","en liet zich behandelen.",-5.99613761901855,0.525397191727871
"69",23,"script-unrelated","Jens ging naar de douane. Angstig liep hij naar de","röntgen","en liet zich behandelen.",-8.69863033294678,-0.0479918402115973
"70",24,"control","Elena begon te pokeren. Snel zette ze haar","geld","in en won.",-6.00499439239502,0.523518046342477
"71",24,"script-related","Elena stopte met pokeren. Snel zette ze haar","geld","in en won.",-6.3632116317749,0.447514941855471
"72",24,"script-unrelated","Elena begon te tekenen. Snel zette ze haar","geld","in en won.",-8.39936065673828,0.0155043346515721
"73",25,"control","Bruno begon zijn vakantie. Eindelijk kwam hij bij de","zee","aan en genoot van het weer.",-6.74054050445557,0.367456913978426
"74",25,"script-related","Bruno beëindigde zijn vakantie. Eindelijk kwam hij bij de","zee","aan en genoot van het weer.",-7.17096328735352,0.276133928521858
"75",25,"script-unrelated","Bruno begon zijn filmavond. Eindelijk kwam hij bij de","zee","aan en genoot van het weer.",-7.96726560592651,0.107182125904768
"76",26,"control","Jana betrad het gemeentehuis. Meteen toonde ze haar","visum","en diende een aanvraag in.",-8.86477661132812,-0.0832431669701998
"77",26,"script-related","Jana verliet het gemeentehuis. Meteen toonde ze haar","visum","en diende een aanvraag in.",-9.26216888427734,-0.16755805504084
"78",26,"script-unrelated","Jana betrad het tuincentrum. Meteen toonde ze haar","visum","en diende een aanvraag in.",-9.84919929504395,-0.292108547707748
"79",27,"control","Nico ging naar de kermis. Direct liep hij naar de","botsauto's","en reed een rondje.",-12.344273686409,-0.821489545668789
"80",27,"script-related","Nico verliet de kermis. Direct liep hij naar de","botsauto's","en reed een rondje.",-13.1381632685661,-0.989929436971304
"81",27,"script-unrelated","Nico ging naar de pizzeria. Direct liep hij naar de","botsauto's","en reed een rondje.",-14.9606679677963,-1.37661103644831
"82",28,"control","Beate ging wandelen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam.",-21.7537424564362,-2.81790054848263
"83",28,"script-related","Beate kwam terug van het wandelen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam.",-21.5232529640198,-2.76899749455478
"84",28,"script-unrelated","Beate ging zwemmen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam.",-21.5325264930725,-2.77096506316978
"85",29,"control","Hubert nam een taxi. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming.",-1.17650377750397,1.54798095983425
"86",29,"script-related","Hubert verliet de taxi. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming.",-1.25873911380768,1.53053305345086
"87",29,"script-unrelated","Hubert nam een vliegtuig. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming.",-2.6554741859436,1.23418717737862
"88",30,"control","Jenni begon te baden. Ze verdeelde meteen het","schuim","over haar lichaam.",-7.68664598464966,0.166721310657379
"89",30,"script-related","Jenni stopte met baden. Ze verdeelde meteen het","schuim","over haar lichaam.",-7.67252540588379,0.169717279877669
"90",30,"script-unrelated","Jenni begon de hoorcollege. Ze verdeelde meteen het","schuim","over haar lichaam.",-11.1697826385498,-0.572297279031862
"91",31,"control","Hans betrad de ijshal. Hij trok vlot zijn","schaatsen","aan en ging de baan op.",-5.44309997558594,0.642735424448944
"92",31,"script-related","Hans verliet de ijshal. Hij trok vlot zijn","schaatsen","aan en ging de baan op.",-5.4944314956665,0.631844393936526
"93",31,"script-unrelated","Hans betrad de klimhal. Hij trok vlot zijn","schaatsen","aan en ging de baan op.",-8.22275447845459,0.0529749428344234
"94",32,"control","Clara begon te bowlen. Vakkundig behaalde ze een","strike","en won het spel.",-14.0982937812805,-1.19364073742496
"95",32,"script-related","Clara stopte met bowlen. Vakkundig behaalde ze een","strike","en won het spel.",-13.9312553405762,-1.15820012020571
"96",32,"script-unrelated","Clara ging naar de schietbaan. Vakkundig behaalde ze een","strike","en won het spel.",-14.0059089660645,-1.17403941177119
"97",33,"control","Georg nam deel aan een brandweerinzet. Hij gebruikte meteen de","slang","en bluste het vuur.",-9.02037048339844,-0.11625558518036
"98",33,"script-related","Georg beëindigde een brandweerinzet. Hij gebruikte meteen de","slang","en bluste het vuur.",-8.52834510803223,-0.0118623514014594
"99",33,"script-unrelated","Georg nam deel aan yoga. Hij gebruikte meteen de","slang","en bluste het vuur.",-9.44005012512207,-0.20529919379118
"100",34,"control","Johanna begon de voetbalwedstrijd. Na korte tijd maakte ze een","doelpunt","en juichte luid.",-3.88821291923523,0.972636474476278
"101",34,"script-related","Johanna beëindigde de voetbalwedstrijd. Na korte tijd maakte ze een","doelpunt","en juichte luid.",-4.54035615921021,0.834270965060495
"102",34,"script-unrelated","Johanna begon de jacht. Na korte tijd maakte ze een","doelpunt","en juichte luid.",-8.83216285705566,-0.076323492813885
"103",35,"control","Jürgen betrad de slagerij. Hij vroeg meteen om een","steak","en betaalde.",-9.24780452251434,-0.164510362278056
"104",35,"script-related","Jürgen verliet de slagerij. Hij vroeg meteen om een","steak","en betaalde.",-10.1400547027588,-0.353819463635273
"105",35,"script-unrelated","Jürgen betrad de bakkerij. Hij vroeg meteen om een","steak","en betaalde.",-7.07700544595718,0.296069003811314
"106",36,"control","Frauke betrad de dierentuin. Even later fotografeerde ze een","zebra","die aan het drinken was.",-6.17164325714111,0.488160085620474
"107",36,"script-related","Frauke verliet de dierentuin. Even later fotografeerde ze een","zebra","die aan het drinken was.",-6.54035186767578,0.409931022440163
"108",36,"script-unrelated","Frauke ging naar het stadion. Even later fotografeerde ze een","zebra","die aan het drinken was.",-7.8501443862915,0.132031785036124
"109",37,"control","Bernd betrad de wasserette. Snel koos hij het","wasprogramma","en zette de machine aan.",-18.4441413879395,-2.11570107797499
"110",37,"script-related","Bernd verliet de wasserette. Snel koos hij het","wasprogramma","en zette de machine aan.",-18.5237598419189,-2.13259375931934
