,Unnamed: 0,ItemNum,Condition,context,target,continuation,semantic_association,implementation,model
0,1,1,control,Johan betrad het restaurant. Even later opende hij de,menukaart,en kreeg een overzicht.,0.55564487,SE,clips/e5-large-trm-nl
1,2,1,script-related,Johan verliet het restaurant. Even later opende hij de,menukaart,en kreeg een overzicht.,0.528904,SE,clips/e5-large-trm-nl
2,3,1,script-unrelated,Johan betrad het appartement. Even later opende hij de,menukaart,en kreeg een overzicht.,0.48040026,SE,clips/e5-large-trm-nl
3,4,2,control,Sabine betrad de bioscoop. Snel liep ze naar de,kassa,en kocht een kaartje.,0.47423276,SE,clips/e5-large-trm-nl
4,5,2,script-related,Sabine verliet de bioscoop. Snel liep ze naar de,kassa,en kocht een kaartje.,0.4606553,SE,clips/e5-large-trm-nl
5,6,2,script-unrelated,Sabine betrad de school. Snel liep ze naar de,kassa,en kocht een kaartje.,0.46089378,SE,clips/e5-large-trm-nl
6,7,3,control,Kevin betrad de boerderij. Zonder te aarzelen pakte hij een,mestvork,en begon te scheppen.,0.5067483,SE,clips/e5-large-trm-nl
7,8,3,script-related,Kevin verliet de boerderij. Zonder te aarzelen pakte hij een,mestvork,en begon te scheppen.,0.47838333,SE,clips/e5-large-trm-nl
8,9,3,script-unrelated,Kevin betrad de kerk. Zonder te aarzelen pakte hij een,mestvork,en begon te scheppen.,0.5143633,SE,clips/e5-large-trm-nl
9,10,4,control,Susi betrad de huisartsenpraktijk. Vriendelijk sprak ze met de,doktersassistente,over de problematiek.,0.5737214,SE,clips/e5-large-trm-nl
10,11,4,script-related,Susi verliet de huisartsenpraktijk. Vriendelijk sprak ze met de,doktersassistente,over de problematiek.,0.5681497,SE,clips/e5-large-trm-nl
11,12,4,script-unrelated,Susi betrad het verblijf. Vriendelijk sprak ze met de,doktersassistente,over de problematiek.,0.45718995,SE,clips/e5-large-trm-nl
12,13,5,control,Roman betrad de bibliotheek. Kort daarna liep hij naar het,rek,en zocht een misdaadroman.,0.46696976,SE,clips/e5-large-trm-nl
13,14,5,script-related,Roman verliet de bibliotheek. Kort daarna liep hij naar het,rek,en zocht een misdaadroman.,0.47320354,SE,clips/e5-large-trm-nl
14,15,5,script-unrelated,Roman betrad de kroeg. Kort daarna liep hij naar het,rek,en zocht een misdaadroman.,0.50189024,SE,clips/e5-large-trm-nl
15,16,6,control,Lea begon spaghetti te koken. Voorzichtig opende ze het,pastapak,in één handbeweging.,0.57177013,SE,clips/e5-large-trm-nl
16,17,6,script-related,Lea was klaar met spaghetti koken. Voorzichtig opende ze het,pastapak,in één handbeweging.,0.5643542,SE,clips/e5-large-trm-nl
17,18,6,script-unrelated,Lea begon de muren te verven. Voorzichtig opende ze het,pastapak,in één handbeweging.,0.46709397,SE,clips/e5-large-trm-nl
18,19,7,control,Peter bereikte het theater. Even later liep hij naar de,loge,en ging zitten.,0.46274757,SE,clips/e5-large-trm-nl
19,20,7,script-related,Peter verliet het theater. Even later liep hij naar de,loge,en ging zitten.,0.45675832,SE,clips/e5-large-trm-nl
20,21,7,script-unrelated,Peter bereikte de supermarkt. Even later liep hij naar de,loge,en ging zitten.,0.42852783,SE,clips/e5-large-trm-nl
21,22,8,control,Lisa betrad het station. Even later was ze op het,perron,en wachtte op de trein.,0.46428612,SE,clips/e5-large-trm-nl
22,23,8,script-related,Lisa verliet het station. Even later was ze op het,perron,en wachtte op de trein.,0.44496018,SE,clips/e5-large-trm-nl
23,24,8,script-unrelated,Lisa betrad het huis. Even later was ze op het,perron,en wachtte op de trein.,0.4494344,SE,clips/e5-large-trm-nl
24,25,9,control,Tim begon in de sportschool te trainen. Meteen stapte hij op de,loopband,en rende als een gek.,0.46015304,SE,clips/e5-large-trm-nl
25,26,9,script-related,Tim stopte in de sportschool met trainen. Meteen stapte hij op de,loopband,en rende als een gek.,0.45987222,SE,clips/e5-large-trm-nl
26,27,9,script-unrelated,Tim begon zijn rijles. Meteen stapte hij op de,loopband,en rende als een gek.,0.48542735,SE,clips/e5-large-trm-nl
