,ItemNum,Condition,context,target,continuation,semantic_association,implementation,model
0,1,control,Johann betrat das Restaurant. Wenig später öffnete er die,Speisekarte,und verschaffte sich einen Überblick.,0.76996756,SE,jinaai/jina-embeddings-v2-base-de
1,1,script-related,Johann verließ das Restaurant. Wenig später öffnete er die,Speisekarte,und verschaffte sich einen Überblick.,0.5691497,SE,jinaai/jina-embeddings-v2-base-de
2,1,script-unrelated,Johann betrat die Wohnung. Wenig später öffnete er die,Speisekarte,und verschaffte sich einen Überblick.,0.6755236,SE,jinaai/jina-embeddings-v2-base-de
3,2,control,Sabine betrat das Kino. Schnell ging sie zur,Kasse,und kaufte eine Karte.,0.51058817,SE,jinaai/jina-embeddings-v2-base-de
4,2,script-related,Sabine verließ das Kino. Schnell ging sie zur,Kasse,und kaufte eine Karte.,0.44566923,SE,jinaai/jina-embeddings-v2-base-de
5,2,script-unrelated,Sabine betrat die Schule. Schnell ging sie zur,Kasse,und kaufte eine Karte.,0.6724845,SE,jinaai/jina-embeddings-v2-base-de
6,3,control,Kevin betrat den Bauernhof. Ohne zu zögern nahm er eine,Mistgabel,und fing an zu schaufeln.,0.65698487,SE,jinaai/jina-embeddings-v2-base-de
7,3,script-related,Kevin verließ den Bauernhof. Ohne zu zögern nahm er eine,Mistgabel,und fing an zu schaufeln.,0.6156412,SE,jinaai/jina-embeddings-v2-base-de
8,3,script-unrelated,Kevin betrat die Kirche. Ohne zu zögern nahm er eine,Mistgabel,und fing an zu schaufeln.,0.520572,SE,jinaai/jina-embeddings-v2-base-de
9,4,control,Susi betrat die Arztpraxis. Freundlich sprach sie mit der,Arzthelferin,über die Problematik.,0.81567127,SE,jinaai/jina-embeddings-v2-base-de
10,4,script-related,Susi verließ die Arztpraxis. Freundlich sprach sie mit der,Arzthelferin,über die Problematik.,0.582357,SE,jinaai/jina-embeddings-v2-base-de
11,4,script-unrelated,Susi betrat das Gehege. Freundlich sprach sie mit der,Arzthelferin,über die Problematik.,0.5264841,SE,jinaai/jina-embeddings-v2-base-de
12,5,control,Roman betrat die Bücherei. Kurz danach ging er zum,Regal,und suchte einen Krimi.,0.6214724,SE,jinaai/jina-embeddings-v2-base-de
13,5,script-related,Roman verließ die Bücherei. Kurz danach ging er zum,Regal,und suchte einen Krimi.,0.2766178,SE,jinaai/jina-embeddings-v2-base-de
14,5,script-unrelated,Roman betrat die Kneipe. Kurz danach ging er zum,Regal,und suchte einen Krimi.,0.2860458,SE,jinaai/jina-embeddings-v2-base-de
15,6,control,Lea begann damit Spaghetti zu kochen. Vorsichtig öffnete sie die,Nudelpackung,mit einem Handgriff.,0.48701683,SE,jinaai/jina-embeddings-v2-base-de
16,6,script-related,Lea war fertig damit Spaghetti zu kochen. Vorsichtig öffnete sie die,Nudelpackung,mit einem Handgriff.,0.49091503,SE,jinaai/jina-embeddings-v2-base-de
17,6,script-unrelated,Lea begann die Wände zu streichen. Vorsichtig öffnete sie die,Nudelpackung,mit einem Handgriff.,0.72718245,SE,jinaai/jina-embeddings-v2-base-de
18,7,control,Peter erreichte das Theater. Wenig später ging er zur,Loge,und setzte sich.,0.7526395,SE,jinaai/jina-embeddings-v2-base-de
19,7,script-related,Peter verließ das Theater. Wenig später ging er zur,Loge,und setzte sich.,0.6228081,SE,jinaai/jina-embeddings-v2-base-de
20,7,script-unrelated,Peter erreichte den Supermarkt. Wenig später ging er zur,Loge,und setzte sich.,0.5173563,SE,jinaai/jina-embeddings-v2-base-de
21,8,control,Lisa betrat den Bahnhof. Wenig später war sie am,Gleis,und wartete auf den Zug.,0.86549866,SE,jinaai/jina-embeddings-v2-base-de
22,8,script-related,Lisa verließ den Bahnhof. Wenig später war sie am,Gleis,und wartete auf den Zug.,0.38533062,SE,jinaai/jina-embeddings-v2-base-de
23,8,script-unrelated,Lisa betrat das Haus. Wenig später war sie am,Gleis,und wartete auf den Zug.,0.891066,SE,jinaai/jina-embeddings-v2-base-de
24,9,control,Tim begann im Fitnessstudio zu trainieren. Umgehend war er auf dem,Laufband,und rann wie verrückt.,0.6995639,SE,jinaai/jina-embeddings-v2-base-de
25,9,script-related,Tim hörte auf im Fitnessstudio zu trainieren. Umgehend war er auf dem,Laufband,und rann wie verrückt.,0.5998924,SE,jinaai/jina-embeddings-v2-base-de
26,9,script-unrelated,Tim begann seine Fahrstunde. Umgehend war er auf dem,Laufband,und rann wie verrückt.,0.419583,SE,jinaai/jina-embeddings-v2-base-de
27,10,control,Maria erreichte den Flughafen. Sofort ging sie zum,Check-in,um den Koffer aufzugeben.,0.37998298,SE,jinaai/jina-embeddings-v2-base-de
28,10,script-related,Maria verließ den Flughafen. Sofort ging sie zum,Check-in,um den Koffer aufzugeben.,0.66215086,SE,jinaai/jina-embeddings-v2-base-de
29,10,script-unrelated,Maria erreichte das Einkaufszentrum. Sofort ging sie zum,Check-in,um den Koffer aufzugeben.,0.5058401,SE,jinaai/jina-embeddings-v2-base-de
